|  a  |  b  |  c  |  d  |  e  |  f  |  g  |  h  |  sel  | out |
|  0  |  1  |  1  |  1  |  1  |  1  |  1  |  1  |  000  |  0  |
|  1  |  0  |  1  |  1  |  1  |  1  |  1  |  1  |  001  |  0  |
|  1  |  1  |  0  |  1  |  1  |  1  |  1  |  1  |  010  |  0  |
|  1  |  1  |  1  |  0  |  1  |  1  |  1  |  1  |  011  |  0  |
|  1  |  1  |  1  |  1  |  0  |  1  |  1  |  1  |  100  |  0  |
|  1  |  1  |  1  |  1  |  1  |  0  |  1  |  1  |  101  |  0  |
|  1  |  1  |  1  |  1  |  1  |  1  |  0  |  1  |  110  |  0  |
|  1  |  1  |  1  |  1  |  1  |  1  |  1  |  0  |  111  |  0  |
|  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  000  |  1  |
|  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  001  |  1  |
|  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  010  |  1  |
|  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  011  |  1  |
|  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  100  |  1  |
|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  101  |  1  |
|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  110  |  1  |
|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  111  |  1  |
